HGNC ,Kinase Classification,PG.ProteinGroups,[4] Hek293_XO44_invivo_1.raw.PG.Quantity,[5] Hek293_XO44_invivo_2.raw.PG.Quantity,[6] Hek293_XO44_invivo_3.raw.PG.Quantity,[10] HeLa_XO44_invivo_1.raw.PG.Quantity,[11] HeLa_XO44_invivo_2.raw.PG.Quantity,[12] HeLa_XO44_invivo_3.raw.PG.Quantity,average_hek293_X044_invivo,average_hela_X044_invivo
AAK1,Other,Q2M2I8,868.9453125,719.7691040039062,824.146240234375,715.6300048828125,716.3798217773438,868.85205078125,804.2868855794271,766.9539591471354
ABL1,TK,P00519,3502.91796875,2665.347900390625,3109.2802734375,2306.119140625,2124.788330078125,3245.169921875,3092.515380859375,2558.6924641927085
ABL2,TK,P42684,7730.421875,6885.49169921875,7011.8984375,4347.9072265625,4208.2705078125,5555.06494140625,7209.270670572917,4703.74755859375
ACVR1,TKL,Q04771,4278.8359375,3536.3876953125,4024.496337890625,1401.1009521484375,1048.9354248046875,2135.180419921875,3946.5733235677085,1528.4055989583333
ACVR1B,TKL,P36896,2425.75,2262.5751953125,3081.423095703125,498.5683288574219,582.7904663085938,814.8607177734375,2589.9160970052085,632.0731709798177
ACVR2B,TKL,Q13705,283.5736999511719,250.7133331298828,382.444580078125,200.25428771972656,60.697513580322266,107.54768371582033,305.57720438639325,122.83316167195638
ADCK1,Atypical,Q86TW2,1242.78369140625,876.0545043945312,1215.63916015625,1706.00244140625,1438.26611328125,2365.729248046875,1111.492451985677,1836.6659342447917
AKT1,AGC,P31749,7445.935546875,6301.73876953125,7342.74609375,4000.130615234375,3733.180419921875,5397.52783203125,7030.14013671875,4376.9462890625
AKT2,AGC,P31751,35893.85546875,29796.326171875,31568.939453125,13275.73046875,13185.5732421875,17628.626953125,32419.70703125,14696.6435546875
AKT3,AGC,Q9Y243,8627.232421875,6795.23974609375,7764.75830078125,370.7028503417969,259.5525817871094,436.99224853515625,7729.076822916667,355.7492268880208
ARAF,TKL,P10398,6291.46142578125,4871.59912109375,5829.12060546875,3376.900390625,3533.501708984375,4969.841796875,5664.060384114583,3960.081298828125
ATM,Atypical,Q13315,429.8463745117188,338.7282409667969,437.1247253417969,299.5506591796875,278.85321044921875,443.40618896484375,401.8997802734375,340.6033528645833
ATR,Atypical,Q13535,1068.0213623046875,765.3560180664062,963.0782470703124,1342.017578125,1379.1116943359375,1866.12109375,932.1518758138021,1529.0834554036458
AURKA,Other,O14965,18852.283203125,15057.1953125,15948.0810546875,25490.173828125,25492.58984375,33499.3515625,16619.1865234375,28160.705078125
AURKB,Other,Q96GD4,37415.171875,29849.494140625,31740.140625,29230.03515625,29125.982421875,38948.5,33001.602213541664,32434.839192708332
AXL,TK,P30530,4963.46923828125,25037.283203125,3857.890380859375,252967.1875,275882.03125,328217.21875,11286.214274088541,285688.8125
BCKDK,Atypical,O14874,3272.34521484375,2861.611083984375,3268.759765625,1309.653564453125,1746.3511962890625,1818.3038330078125,3134.2386881510415,1624.76953125
BCR,Atypical,P11274,627.2042236328125,542.6770629882812,598.800537109375,782.6065673828125,702.7307739257812,1100.0882568359375,589.5606079101562,861.8085327148438
BMP2K,Other,Q9NSY1,383.2742919921875,311.5296630859375,333.5927734375,524.9112548828125,430.0309448242188,563.9444580078125,342.7989095052083,506.29555257161456
BMPR1A,TKL,P36894,3216.852294921875,3188.870849609375,3524.984130859375,1408.932373046875,843.0377197265625,1651.737548828125,3310.2357584635415,1301.2358805338542
BMPR1B,TKL,O00238,3852.52392578125,2476.477783203125,3165.94384765625,970.3353881835938,811.0166015625,1399.9764404296875,3164.9818522135415,1060.4428100585938
BMPR2,TKL,Q13873,2869.082275390625,2557.385986328125,2327.63818359375,4521.544921875,3962.699462890625,5692.53564453125,2584.7021484375,4725.593343098958
BRAF,TKL,P15056,6089.609375,6231.3837890625,7425.0947265625,3259.339111328125,3099.75048828125,3895.95361328125,6582.029296875,3418.3477376302085
BRD2,Atypical,P25440,2750.31494140625,2178.0830078125,2652.9365234375,1533.5009765625,1315.777099609375,1998.3392333984373,2527.1114908854165,1615.8724365234375
BRD3,Atypical,Q15059,736.5441284179688,680.0730590820312,718.0237426757812,610.1323852539062,519.6036376953125,818.1637573242188,711.5469767252604,649.2999267578125
BRD4,Atypical,O60885,2928.5556640625,2503.807373046875,2889.4375,3677.882568359375,3479.718994140625,4709.6337890625,2773.9335123697915,3955.7451171875
BRSK1,CAMK,Q8TDC3,986.4208984375,707.0943603515625,1525.7972412109375,342.1528015136719,451.9235534667969,596.4544677734375,1073.1041666666667,463.51027425130206
BRSK2,CAMK,Q8IWQ3,7107.2216796875,5770.1416015625,7015.3544921875,2608.0263671875,2504.17724609375,3873.5185546875,6630.905924479167,2995.24072265625
BTK,TK,Q06187,1236.1812744140625,642.7106323242188,976.75927734375,134.0204315185547,183.60508728027344,200.95794677734372,951.8837280273438,172.86115519205728
BUB1,Other,O43683,604.8059692382812,438.56396484375,474.2008666992188,1075.2242431640625,976.3419799804688,1151.8021240234375,505.85693359375,1067.7894490559895
BUB1B,Other,O60566,2076.080078125,1678.91748046875,1814.5467529296875,2183.76953125,2172.95263671875,2998.6630859375,1856.5147705078125,2451.7950846354165
CAMK1,CAMK,Q14012,28345.94921875,24008.734375,26369.1484375,1805.7176513671875,1812.935546875,2835.351806640625,26241.27734375,2151.335001627604
CAMK1D,CAMK,Q8IU85,4538.337890625,3715.550048828125,4333.1884765625,850.3229370117188,824.1729736328125,1199.5218505859375,4195.692138671875,958.0059204101562
CAMK2B,CAMK,Q13554,3235.673583984375,2052.20947265625,2025.8687744140625,453.4546203613281,820.2345581054688,497.09381103515625,2437.917277018229,590.260996500651
CAMK2D,CAMK,Q13557,9862.798828125,7763.09033203125,9498.255859375,2072.01806640625,1964.1031494140625,2745.581298828125,9041.381673177084,2260.5675048828125
CAMK2G,CAMK,Q13555,3531.32470703125,2823.52197265625,3118.32568359375,1177.826416015625,910.97314453125,1459.127197265625,3157.72412109375,1182.6422526041667
CAMK4,CAMK,Q16566,5397.236328125,5157.48828125,4891.56884765625,1580.2587890625,804.0791625976562,1264.487060546875,5148.764485677083,1216.2750040690105
CAMKK1,Other,Q8N5S9,10768.7724609375,9122.8916015625,9906.7841796875,5844.6494140625,5828.24072265625,7893.421875,9932.816080729166,6522.10400390625
CAMKK2,Other,Q96RR4,13247.8974609375,10868.8125,10887.1630859375,2863.657958984375,2866.911376953125,3957.846435546875,11667.957682291666,3229.471923828125
CASK,CAMK,O14936,10390.27734375,8607.23828125,10187.3857421875,2086.87939453125,1849.185546875,3006.981689453125,9728.300455729166,2314.348876953125
CDC42BPA,AGC,Q5VT25,684.8890991210938,581.0587158203125,609.92236328125,333.5276794433594,348.23065185546875,507.5616760253906,625.2900594075521,396.44000244140625
CDC42BPB,AGC,Q9Y5S2,2539.672119140625,2095.107666015625,2411.48291015625,3151.3994140625,3035.7431640625,4292.640625,2348.7542317708335,3493.2610677083335
CDC42BPG,AGC,Q6DT37,281.71063232421875,201.36512756347656,283.3900146484375,360.3179016113281,78.26577758789062,59.21163940429688,255.48859151204428,165.93177286783853
CDC7,Other,O00311,640.5664672851562,466.3216857910156,606.01171875,406.5489196777344,325.9695739746094,636.0641479492188,570.9666239420573,456.1942138671875
CDK1,CMGC,P06493,129143.828125,107133.8671875,112778.8359375,76096.6015625,79409.0234375,106012.0,116352.17708333333,87172.54166666667
CDK11A,CMGC,Q9UQ88,3827.778564453125,2823.014892578125,3363.560302734375,4117.75390625,3436.853271484375,5924.1826171875,3338.117919921875,4492.929931640625
CDK11B,CMGC,P21127,43957.671875,35762.17578125,40597.31640625,27666.677734375,27354.640625,37735.7734375,40105.721354166664,30919.030598958332
CDK12,CMGC,Q9NYV4,12433.4833984375,11540.7041015625,12359.255859375,5421.21142578125,4909.546875,6429.54443359375,12111.147786458334,5586.767578125
CDK13,CMGC,Q14004,11165.265625,9676.8447265625,10570.0087890625,8376.9150390625,8565.08984375,11607.142578125,10470.706380208334,9516.382486979166
CDK14,CMGC,O94921,11306.55078125,11003.2666015625,11297.357421875,737.6466064453125,574.045166015625,732.2958374023438,11202.3916015625,681.3292032877604
CDK15,CMGC,Q96Q40,46982.5546875,50583.59765625,54525.92578125,155.29454040527344,,272.3426208496094,50697.359375,213.8185806274414
CDK16,CMGC,Q00536,8858.9111328125,7153.40771484375,7985.220703125,1833.0679931640625,1824.548828125,2425.784912109375,7999.179850260417,2027.8005777994792
CDK17,CMGC,Q00537,5881.67626953125,4697.86083984375,5363.90576171875,1401.224609375,1452.7242431640625,2379.621826171875,5314.48095703125,1744.5235595703125
CDK18,CMGC,Q07002,2461.853759765625,2178.901123046875,2784.45556640625,572.3800659179688,370.1160278320313,580.3953247070312,2475.0701497395835,507.63047281901044
CDK19,CMGC,Q9BWU1,550.19482421875,460.9039306640625,529.28759765625,484.6509704589844,407.969482421875,626.6624145507812,513.4621175130209,506.42762247721356
CDK2,CMGC,P24941,76983.75,64564.66796875,68648.6328125,58107.9921875,62651.74609375,83053.953125,70065.68359375,67937.89713541667
CDK20,CMGC,Q8IZL9,4124.81298828125,2727.165771484375,3075.22802734375,614.2489624023438,562.5726318359375,783.4003295898438,3309.0689290364585,653.4073079427084
CDK4,CMGC,P11802,64820.328125,47696.94921875,50745.703125,23675.697265625,25239.494140625,31216.396484375,54420.993489583336,26710.529296875
CDK5,CMGC,Q00535,32983.3828125,25718.142578125,29425.08203125,18492.892578125,20078.59765625,27118.216796875,29375.535807291668,21896.569010416668
CDK6,CMGC,Q00534,3274.69677734375,2569.62353515625,2841.755615234375,9494.1708984375,10287.1123046875,12201.9541015625,2895.358642578125,10661.0791015625
CDK7,CMGC,P50613,6949.34912109375,5721.3974609375,6298.2841796875,2823.851318359375,2705.7412109375,3771.157470703125,6323.01025390625,3100.25
CDK8,CMGC,P49336,1136.2694091796875,862.863037109375,1040.952880859375,731.2322998046875,696.2222290039062,1082.489013671875,1013.3617757161459,836.6478474934896
CDK9,CMGC,P50750,11196.1279296875,9366.66796875,11212.0712890625,4656.65869140625,4653.10205078125,6867.53564453125,10591.622395833334,5392.43212890625
CDKL1,CMGC,Q00532,85.07727813720703,88.11014556884766,127.2313003540039,80.61741638183594,58.74604034423828,97.67626190185548,100.1395746866862,79.01323954264323
CDKL2,CMGC,Q92772,2411.452880859375,1749.0721435546875,2057.91015625,325.5289001464844,316.32574462890625,332.0633544921875,2072.811726888021,324.6393330891927
CDKL5,CMGC,O76039,1139.3743896484375,970.05126953125,1107.944580078125,1254.6807861328125,1568.688720703125,1921.3466796875,1072.4567464192708,1581.5720621744792
CHEK1,CAMK,O14757,1138.683837890625,858.4332275390625,972.8403930664062,1375.8330078125,1249.243896484375,1753.1104736328125,989.9858194986979,1459.3957926432292
CHEK2,CAMK,O96017,37035.82421875,30122.236328125,32920.9296875,5980.3173828125,5723.1416015625,7836.80517578125,33359.663411458336,6513.42138671875
CHUK,Other,O15111,1983.8814697265625,1687.5543212890625,1785.5892333984375,1269.84716796875,1244.6361083984375,1724.0771484375,1819.0083414713542,1412.8534749348958
CIT,AGC,O14578,705.1615600585938,671.7954711914062,702.5368041992188,936.6853637695312,888.4232177734375,1180.657958984375,693.1646118164062,1001.9221801757812
CLK1,CMGC,P49759,3409.07080078125,2973.682373046875,3211.461669921875,3441.56103515625,3147.753173828125,4417.31787109375,3198.0716145833335,3668.8773600260415
