Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,GO Cellular Component,GO Molecular Function,GO Biological Process,Kinase Classification
XO44 / control,P24723,P24723,7.68113151382137,7.68113151382137,3.79120495782439E-06,3.42054644104244E-07,12,P24723,PRKCH,Protein kinase C eta type,KPCL_HUMAN,10,20423.4792355908,205.234792355908,XO44,"cytoplasm,cytosol,plasma membrane,cell-cell junction,extracellular exosome","protein kinase C activity,calcium-independent protein kinase C activity,protein binding,ATP binding,Ral GTPase binding,enzyme binding,metal ion binding,protein serine/threonine kinase activity","protein phosphorylation,signal transduction,positive regulation of macrophage derived foam cell differentiation,peptidyl-serine phosphorylation,platelet activation,negative regulation of glial cell apoptotic process,intracellular signal transduction,positive regulation of keratinocyte differentiation,positive regulation of B cell receptor signaling pathway,positive regulation of NF-kappaB transcription factor activity,positive regulation of glial cell proliferation,protein kinase C signaling,positive regulation of protein localization to plasma membrane,regulation of bicellular tight junction assembly",AGC
XO44 / control,Q6P0Q8,Q6P0Q8,6.99649388635959,6.99649388635959,0.000471100441074966,1.38247266450424E-05,12,Q6P0Q8,MAST2,Microtubule-associated serine/threonine-protein kinase 2,MAST2_HUMAN,19,12668.9305329785,127.689305329785,XO44,"cytoplasm,plasma membrane,microtubule cytoskeleton","magnesium ion binding,protein serine/threonine kinase activity,protein binding,ATP binding,microtubule binding,phosphatase binding","protein phosphorylation,cytoskeleton organization,peptidyl-serine phosphorylation,intracellular signal transduction,regulation of interleukin-12 biosynthetic process,spermatid differentiation",AGC
XO44 / control,O15530,O15530,9.08443946732341,9.08443946732341,6.60404244088496E-06,4.93133909336277E-07,12,O15530,PDPK1,3-phosphoinositide-dependent protein kinase 1,PDPK1_HUMAN,25,54186.1163860247,542.861163860247,XO44,"nucleoplasm,cytoplasm,cytosol,plasma membrane,focal adhesion,postsynaptic density,cytoplasmic vesicle,cell projection,perikaryon","protein serine/threonine kinase activity,3-phosphoinositide-dependent protein kinase activity,insulin receptor binding,protein binding,ATP binding,phospholipase activator activity,kinase activity,protein kinase binding,phospholipase binding","stimulatory C-type lectin receptor signaling pathway,type B pancreatic cell development,transcription, DNA-templated,regulation of transcription, DNA-templated,protein phosphorylation,negative regulation of protein kinase activity,hyperosmotic response,epidermal growth factor receptor signaling pathway,positive regulation of phospholipase activity,negative regulation of cardiac muscle cell apoptotic process,cell migration,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,calcium-mediated signaling,actin cytoskeleton organization,platelet activation,negative regulation of transforming growth factor beta receptor signaling pathway,T cell costimulation,activation of protein kinase B activity,cellular response to insulin stimulus,negative regulation of toll-like receptor signaling pathway,intracellular signal transduction,Fc-epsilon receptor signaling pathway,regulation of I-kappaB kinase/NF-kappaB signaling,regulation of mast cell degranulation,negative regulation of neuron apoptotic process,positive regulation of blood vessel endothelial cell migration,positive regulation of angiogenesis,protein autophosphorylation,focal adhesion assembly,T cell receptor signaling pathway,positive regulation of release of sequestered calcium ion into cytosol,cellular response to epidermal growth factor stimulus,extrinsic apoptotic signaling pathway,positive regulation of protein localization to plasma membrane,positive regulation of sprouting angiogenesis,Requires Ontology,cellular response to brain-derived neurotrophic factor stimulus,negative regulation of endothelial cell apoptotic process",AGC
XO44 / control,Q05513,Q05513,8.05511058159065,8.05511058159065,5.44793845693196E-06,4.37269833255891E-07,12,Q05513,PRKCZ,Protein kinase C zeta type,KPCZ_HUMAN,8,26496.8315952893,265.968315952893,XO44,"nuclear envelope,cytoplasm,endosome,microtubule organizing center,cytosol,plasma membrane,cell-cell junction,bicellular tight junction,membrane,apical plasma membrane,nuclear matrix,cell junction,cell leading edge,filamentous actin,vesicle,myelin sheath abaxonal region,axon hillock,membrane raft,apical cortex,perinuclear region of cytoplasm,extracellular exosome","protein kinase activity,protein serine/threonine kinase activity,protein kinase C activity,protein binding,ATP binding,potassium channel regulator activity,protein kinase binding,protein domain specific binding,phospholipase binding,insulin receptor substrate binding,metal ion binding,14-3-3 protein binding","microtubule cytoskeleton organization,positive regulation of cell-matrix adhesion,protein phosphorylation,inflammatory response,signal transduction,transforming growth factor beta receptor signaling pathway,long-term memory,positive regulation of cell proliferation,insulin receptor signaling pathway,cell migration,peptidyl-serine phosphorylation,establishment of cell polarity,negative regulation of protein complex assembly,actin cytoskeleton reorganization,activation of phospholipase D activity,activation of protein kinase B activity,positive regulation of interleukin-4 production,negative regulation of apoptotic process,positive regulation of T-helper 2 cell differentiation,positive regulation of glucose import,negative regulation of insulin receptor signaling pathway,positive regulation of insulin receptor signaling pathway,vesicle transport along microtubule,negative regulation of peptidyl-tyrosine phosphorylation,positive regulation of NF-kappaB transcription factor activity,protein heterooligomerization,negative regulation of hydrolase activity,membrane depolarization,membrane hyperpolarization,long-term synaptic potentiation,positive regulation of ERK1 and ERK2 cascade,protein kinase C signaling,protein localization to plasma membrane,neuron projection extension,positive regulation of excitatory postsynaptic potential,positive regulation of T-helper 2 cell cytokine production,positive regulation of interleukin-5 secretion,positive regulation of interleukin-13 secretion,positive regulation of interleukin-10 secretion,intracellular signal transduction",AGC
XO44 / control,P43250,P43250,8.33647321382585,8.33647321382585,0.00023596678978693,7.40621923325121E-06,12,P43250,GRK6,G protein-coupled receptor kinase 6,GRK6_HUMAN,13,32224.2528590879,323.242528590879,XO44,"plasma membrane,membrane","G-protein coupled receptor kinase activity,protein binding,ATP binding,beta-adrenergic receptor kinase activity","protein phosphorylation,G-protein coupled receptor signaling pathway,regulation of G-protein coupled receptor protein signaling pathway,Wnt signaling pathway",AGC
XO44 / control,Q16513,Q16513,9.03304150494013,9.03304150494013,1.72849649107485E-05,9.12663955364703E-07,12,Q16513,PKN2,Serine/threonine-protein kinase N2,PKN2_HUMAN,45,52286.1455274334,523.861455274334,XO44,"nucleus,nucleoplasm,cytoplasm,centrosome,cytosol,plasma membrane,nuclear body,lamellipodium,midbody,cleavage furrow,apical junction complex,intermediate filament cytoskeleton,perinuclear region of cytoplasm","RNA binding,protein kinase activity,protein serine/threonine kinase activity,protein kinase C activity,protein binding,ATP binding,kinase activity,GTP-Rho binding,histone deacetylase binding,cadherin binding,RNA polymerase binding","transcription, DNA-templated,regulation of transcription, DNA-templated,protein phosphorylation,apoptotic process,cell cycle,cell adhesion,signal transduction,epithelial cell migration,peptidyl-serine phosphorylation,cell projection organization,positive regulation of cytokinesis,intracellular signal transduction,apical junction assembly,positive regulation of viral genome replication,positive regulation of mitotic cell cycle,cell division,regulation of cell motility",AGC
XO44 / control,O15021,O15021,7.1005137578693,7.1005137578693,0.000152173599026837,5.04549710266894E-06,12,O15021,MAST4,Microtubule-associated serine/threonine-protein kinase 4,MAST4_HUMAN,27,13623.5865543134,137.235865543134,XO44,"intracellular,cytoplasm","magnesium ion binding,protein serine/threonine kinase activity,ATP binding","peptidyl-serine phosphorylation,intracellular signal transduction,cytoskeleton organization",AGC
XO44 / control,Q96GX5,Q96GX5,7.1466981533026,7.1466981533026,5.25760396645994E-05,2.07270925600824E-06,12,Q96GX5,MASTL,Serine/threonine-protein kinase greatwall,GWL_HUMAN,19,14070.0216599672,141.700216599672,XO44,"nucleus,nucleoplasm,cytoplasm,centrosome,cleavage furrow","protein serine/threonine kinase activity,ATP binding,kinase activity,protein phosphatase 2A binding","G2/M transition of mitotic cell cycle,mitotic cell cycle,cellular response to DNA damage stimulus,female meiosis II,peptidyl-serine phosphorylation,negative regulation of phosphoprotein phosphatase activity,intracellular signal transduction,cell division,positive regulation of ubiquitin-protein ligase activity involved in meiotic cell cycle,regulation of cell cycle",AGC
XO44 / control,P41743,P41743,7.93697512736684,7.93697512736684,1.06526018118731E-05,6.67677816118715E-07,12,P41743,PRKCI,Protein kinase C iota type,KPCI_HUMAN,12,24405.7268377338,245.057268377338,XO44,"Golgi membrane,nucleus,nucleoplasm,endosome,cytosol,plasma membrane,bicellular tight junction,microtubule cytoskeleton,apical plasma membrane,cell leading edge,Schmidt-Lanterman incisure,intercellular bridge,extracellular exosome","protein kinase activity,protein serine/threonine kinase activity,protein kinase C activity,protein binding,ATP binding,phospholipid binding,protein domain specific binding,metal ion binding","protein phosphorylation,protein targeting to membrane,cytoskeleton organization,actin filament organization,positive regulation of neuron projection development,vesicle-mediated transport,cell migration,peptidyl-serine phosphorylation,cellular response to insulin stimulus,negative regulation of glial cell apoptotic process,establishment of apical/basal cell polarity,intracellular signal transduction,eye photoreceptor cell development,negative regulation of apoptotic process,negative regulation of neuron apoptotic process,establishment or maintenance of epithelial cell apical/basal polarity,cell-cell junction organization,positive regulation of Notch signaling pathway,positive regulation of glucose import,secretion,Golgi vesicle budding,positive regulation of NF-kappaB transcription factor activity,positive regulation of glial cell proliferation,membrane organization,response to interleukin-1,bicellular tight junction assembly,positive regulation of protein localization to plasma membrane,positive regulation of endothelial cell apoptotic process",AGC
XO44 / control,Q9UBS0,Q9UBS0,8.37552406764111,8.37552406764111,1.21262919437501E-05,7.24146023274301E-07,12,Q9UBS0,RPS6KB2,Ribosomal protein S6 kinase beta-2,KS6B2_HUMAN,9,33111.154559565,332.11154559565,XO44,"nucleus,nucleoplasm,cytoplasm","protein kinase activity,protein serine/threonine kinase activity,ribosomal protein S6 kinase activity,ATP binding,peptide binding","translation,protein phosphorylation,signal transduction,intracellular signal transduction,protein kinase B signaling,positive regulation of translational initiation",AGC
XO44 / control,P17612,P17612,8.37753915752839,8.37753915752839,3.63214790916449E-06,3.31833244712397E-07,12,P17612,PRKACA,cAMP-dependent protein kinase catalytic subunit alpha,KAPCA_HUMAN,16,33157.5747796187,332.575747796187,XO44,"acrosomal vesicle,nucleus,nucleoplasm,cytoplasm,mitochondrion,centrosome,cytosol,cAMP-dependent protein kinase complex,nuclear speck,motile cilium,calcium channel complex,plasma membrane raft,intercellular bridge,perinuclear region of cytoplasm,extracellular exosome,ciliary base,axoneme,membrane","protein kinase activity,protein serine/threonine kinase activity,cAMP-dependent protein kinase activity,protein serine/threonine/tyrosine kinase activity,protein binding,ATP binding,protein kinase binding,ubiquitin protein ligase binding,protein kinase A regulatory subunit binding","G2/M transition of mitotic cell cycle,regulation of heart rate,stimulatory C-type lectin receptor signaling pathway,renal water homeostasis,mRNA processing,protein phosphorylation,blood coagulation,regulation of G2/M transition of mitotic cell cycle,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,regulation of macroautophagy,peptidyl-serine phosphorylation,cytokine-mediated signaling pathway,activation of protein kinase A activity,high-density lipoprotein particle assembly,cellular response to heat,calcium-mediated signaling using intracellular calcium source,regulation of protein binding,regulation of osteoblast differentiation,sperm capacitation,regulation of cytosolic calcium ion concentration,regulation of cardiac muscle contraction,regulation of ryanodine-sensitive calcium-release channel activity,regulation of proteasomal protein catabolic process,positive regulation of cell cycle arrest,cellular response to glucose stimulus,cellular response to glucagon stimulus,cellular response to epinephrine stimulus,cell communication by electrical coupling involved in cardiac conduction,ciliary basal body docking,regulation of cardiac conduction,regulation of bicellular tight junction assembly",AGC
XO44 / control,O75676,O75676,8.37994775667527,8.37994775667527,5.31108916323715E-06,4.30345169353207E-07,11,O75676,RPS6KA4,Ribosomal protein S6 kinase alpha-4,KS6A4_HUMAN,7,33213.1451314244,333.131451314244,XO44,"nucleus,nucleoplasm,cytoplasm,cytosol","magnesium ion binding,protein serine/threonine kinase activity,ribosomal protein S6 kinase activity,protein binding,ATP binding","negative regulation of cytokine production,regulation of transcription, DNA-templated,protein phosphorylation,inflammatory response,histone phosphorylation,positive regulation of CREB transcription factor activity,positive regulation of histone phosphorylation,positive regulation of histone acetylation,intracellular signal transduction,histone H3-S10 phosphorylation,histone H3-S28 phosphorylation,positive regulation of transcription from RNA polymerase II promoter,positive regulation of NF-kappaB transcription factor activity,interleukin-1-mediated signaling pathway",AGC
XO44 / control,Q86UX6,Q86UX6,7.48649088206092,7.48649088206092,1.42319631785906E-05,8.02312597182385E-07,11,Q86UX6,STK32C,Serine/threonine-protein kinase 32C,ST32C_HUMAN,7,17833.221711137,179.33221711137,XO44,intracellular,"protein serine/threonine kinase activity,ATP binding,metal ion binding","peptidyl-serine phosphorylation,intracellular signal transduction",AGC
XO44 / control,Q9UK32,Q9UK32,8.79039399217556,8.79039399217556,0.0321119672777216,0.000802240129587927,5,Q9UK32,RPS6KA6,Ribosomal protein S6 kinase alpha-6,KS6A6_HUMAN,3,44176.3962352304,442.763962352305,XO44,"fibrillar center,nucleus,nucleoplasm,nucleolus,cytoplasm,mitochondrion,cytosol","magnesium ion binding,protein kinase activity,protein serine/threonine kinase activity,ATP binding,kinase activity,ribosomal protein S6 kinase activity","protein phosphorylation,DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator,signal transduction,central nervous system development,negative regulation of embryonic development,negative regulation of ERK1 and ERK2 cascade,negative regulation of mesoderm development,cellular response to stress,intracellular signal transduction",AGC
XO44 / control,Q13976,Q13976,8.39444801292638,8.39444801292638,7.47365938163289E-06,5.33301900181163E-07,12,Q13976,PRKG1,cGMP-dependent protein kinase 1,KGP1_HUMAN,22,33549.6575602351,336.496575602351,XO44,"cytoplasm,Golgi apparatus,cytosol,plasma membrane","protein kinase activity,protein serine/threonine kinase activity,cGMP-dependent protein kinase activity,calcium channel regulator activity,protein binding,ATP binding,cGMP binding","neuron migration,signal transduction,dendrite development,cGMP-mediated signaling,actin cytoskeleton organization,forebrain development,regulation of GTPase activity,relaxation of vascular smooth muscle,negative regulation of platelet aggregation,negative regulation of vascular smooth muscle cell proliferation,negative regulation of vascular associated smooth muscle cell migration,protein phosphorylation",AGC
