HGNC ,Kinase Classification,Genes,ProteinDescriptions
CDK5,CMGC,CDK5,Cyclin-dependent kinase 5
AURKB,Other,AURKB,Aurora kinase B
STK4,STE,STK4,Serine/threonine-protein kinase 4
LYN,TK,LYN,Tyrosine-protein kinase Lyn
PAK1,STE,PAK1,Serine/threonine-protein kinase PAK 1
SRC,TK,SRC,Proto-oncogene tyrosine-protein kinase Src
GSK3B,CMGC,GSK3B,Glycogen synthase kinase-3 beta
CDK2,CMGC,CDK2,Cyclin-dependent kinase 2
MAP2K2,STE,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2
YES1,TK,YES1,Tyrosine-protein kinase Yes
STK38,AGC,STK38,Serine/threonine-protein kinase 38
MAP3K3,STE,MAP3K3,Mitogen-activated protein kinase kinase kinase 3
PAK2,STE,PAK2,Serine/threonine-protein kinase PAK 2
CHEK2,CAMK,CHEK2,Serine/threonine-protein kinase Chk2
CAMKK1,Other,CAMKK1,Calcium/calmodulin-dependent protein kinase kinase 1
CSK,TK,CSK,Tyrosine-protein kinase CSK
AURKA,Other,AURKA,Aurora kinase A
CLK3,CMGC,CLK3,Dual specificity protein kinase CLK3
CDK1,CMGC,CDK1,Cyclin-dependent kinase 1
EIF2AK2,Other,EIF2AK2,"Interferon-induced, double-stranded RNA-activated protein kinase"
GSK3A,CMGC,GSK3A,Glycogen synthase kinase-3 alpha
STK26,STE,STK26,Serine/threonine-protein kinase 26
MARK2,CAMK,MARK2,Serine/threonine-protein kinase MARK2
MAP2K1,STE,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1
MAPK14,CMGC,MAPK14,Mitogen-activated protein kinase 14
IRAK4,TKL,IRAK4,Interleukin-1 receptor-associated kinase 4
LATS1,AGC,LATS1,Serine/threonine-protein kinase LATS1
IRAK1,TKL,IRAK1,Interleukin-1 receptor-associated kinase 1
STK3,STE,STK3,Serine/threonine-protein kinase 3
RPS6KA5,AGC,RPS6KA5,Ribosomal protein S6 kinase alpha-5
MAPK3,CMGC,MAPK3,Mitogen-activated protein kinase 3
PRKAA2,CAMK,PRKAA2,5'-AMP-activated protein kinase catalytic subunit alpha-2
AKT2,AGC,AKT2,RAC-beta serine/threonine-protein kinase
MAPK9,CMGC,MAPK9,Mitogen-activated protein kinase 9
RPS6KA3,AGC,RPS6KA3,Ribosomal protein S6 kinase alpha-3
PRKAA1,CAMK,PRKAA1,5'-AMP-activated protein kinase catalytic subunit alpha-1
TLK2,Other,TLK2,Serine/threonine-protein kinase tousled-like 2
STK24,STE,STK24,Serine/threonine-protein kinase 24
MAP3K7,STE,MAP3K7,Mitogen-activated protein kinase kinase kinase 7
MAPK1,CMGC,MAPK1,Mitogen-activated protein kinase 1
STK39,STE,STK39,STE20/SPS1-related proline-alanine-rich protein kinase
STK38L,AGC,STK38L,Serine/threonine-protein kinase 38-like
FYN,TK,FYN,Tyrosine-protein kinase Fyn
ERBB2,TK,ERBB2,Receptor tyrosine-protein kinase erbB-2
