,Kinase Classification,Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
0,AGC,Hek293_XO44 / Hek293_control,O60307,O60307,5.99812052409721,5.99812052409721,0.0017276711848396,0.0046690607124762,6,O60307,MAST3,Microtubule-associated serine/threonine-protein kinase 3,MAST3_HUMAN,33,6291.66780666827,63.9166780666827,Hek293_XO44,Hek293_control,intracellular,"magnesium ion binding,protein serine/threonine kinase activity,protein binding,ATP binding","cytoskeleton organization,peptidyl-serine phosphorylation,intracellular signal transduction"
1,AGC,Hek293_XO44 / Hek293_control,O75116,O75116,6.39364450909636,6.39364450909636,0.0017674681048019,0.004688549703354,6,O75116,ROCK2,Rho-associated protein kinase 2,ROCK2_HUMAN,78,8307.73043050657,84.0773043050657,Hek293_XO44,Hek293_control,"nucleus,centrosome,cytosol,plasma membrane,cytoplasmic ribonucleoprotein granule","RNA binding,protein serine/threonine kinase activity,structural molecule activity,protein binding,ATP binding,Rho GTPase binding,metal ion binding,Rho-dependent protein serine/threonine kinase activity","positive regulation of protein phosphorylation,protein phosphorylation,smooth muscle contraction,G-protein coupled receptor signaling pathway,I-kappaB kinase/NF-kappaB signaling,Rho protein signal transduction,positive regulation of endothelial cell migration,positive regulation of gene expression,positive regulation of centrosome duplication,negative regulation of angiogenesis,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,regulation of cell adhesion,cortical actin cytoskeleton organization,regulation of actin cytoskeleton organization,negative regulation of myosin-light-chain-phosphatase activity,viral RNA genome replication,regulation of circadian rhythm,regulation of keratinocyte differentiation,vascular endothelial growth factor receptor signaling pathway,ephrin receptor signaling pathway,rhythmic process,regulation of protein metabolic process,centrosome duplication,regulation of stress fiber assembly,regulation of focal adhesion assembly,cellular response to testosterone stimulus,protein localization to plasma membrane,Requires Ontology,positive regulation of beta-amyloid formation,positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process,positive regulation of protein localization to early endosome,positive regulation of amyloid precursor protein catabolic process,regulation of establishment of endothelial barrier,negative regulation of bicellular tight junction assembly,regulation of establishment of cell polarity,regulation of cell motility"
2,AGC,Hek293_XO44 / Hek293_control,Q96BR1,Q96BR1,7.243077539858,7.243077539858,0.0244075336300533,0.0080274435415666,6,Q96BR1,SGK3,Serine/threonine-protein kinase Sgk3,SGK3_HUMAN,20,15048.9872621112,151.489872621112,Hek293_XO44,Hek293_control,"early endosome,cytosol,cytoplasmic vesicle,recycling endosome","protein kinase activity,protein serine/threonine kinase activity,calcium channel regulator activity,protein binding,ATP binding,potassium channel regulator activity,sodium channel regulator activity,chloride channel regulator activity,phosphatidylinositol binding","regulation of cell growth,protein phosphorylation,peptidyl-serine phosphorylation,regulation of cell migration,positive regulation of transporter activity,ion transmembrane transport,intracellular signal transduction,regulation of cell proliferation,regulation of apoptotic process,regulation of sequence-specific DNA binding transcription factor activity"
3,AGC,Hek293_XO44 / Hek293_control,O15021,O15021,5.58900477690842,5.58900477690842,0.0001762303959257,0.0019831343869836,6,O15021,MAST4,Microtubule-associated serine/threonine-protein kinase 4,MAST4_HUMAN,28,4713.46794229402,48.1346794229402,Hek293_XO44,Hek293_control,"intracellular,cytoplasm","magnesium ion binding,protein serine/threonine kinase activity,ATP binding","peptidyl-serine phosphorylation,intracellular signal transduction,cytoskeleton organization"
4,AGC,Hek293_XO44 / Hek293_control,Q9Y5S2,Q9Y5S2,4.0005281077505,4.0005281077505,0.0029925288315337,0.0047730276111831,6,Q9Y5S2,CDC42BPB,Serine/threonine-protein kinase MRCK beta,MRCKB_HUMAN,52,1500.58579744817,16.0058579744817,Hek293_XO44,Hek293_control,"cytoplasm,cytoskeleton,plasma membrane,cell-cell junction,lamellipodium,cell leading edge,actomyosin,extracellular exosome","magnesium ion binding,protein kinase activity,protein serine/threonine kinase activity,ATP binding,Rho GTPase binding,macromolecular complex binding","protein phosphorylation,cytoskeleton organization,establishment or maintenance of cell polarity,signal transduction,cell migration,actomyosin structure organization,actin cytoskeleton reorganization,intracellular signal transduction"
5,AGC,Hek293_XO44 / Hek293_control,P24723,P24723,5.56590329772219,5.56590329772219,0.0148752460522904,0.0065487703519476,6,P24723,PRKCH,Protein kinase C eta type,KPCL_HUMAN,12,4637.00502666919,47.3700502666919,Hek293_XO44,Hek293_control,"cytoplasm,cytosol,plasma membrane,cell-cell junction,extracellular exosome","protein kinase C activity,calcium-independent protein kinase C activity,protein binding,ATP binding,Ral GTPase binding,enzyme binding,metal ion binding,protein serine/threonine kinase activity","protein phosphorylation,signal transduction,positive regulation of macrophage derived foam cell differentiation,peptidyl-serine phosphorylation,platelet activation,negative regulation of glial cell apoptotic process,intracellular signal transduction,positive regulation of keratinocyte differentiation,positive regulation of B cell receptor signaling pathway,positive regulation of NF-kappaB transcription factor activity,positive regulation of glial cell proliferation,protein kinase C signaling,positive regulation of protein localization to plasma membrane,regulation of bicellular tight junction assembly"
6,AGC,Hek293_XO44 / Hek293_control,Q9Y2H1,Q9Y2H1,7.86439277675271,7.86439277675271,0.0071179121491474,0.0052343952564711,6,Q9Y2H1,STK38L,Serine/threonine-protein kinase 38-like,ST38L_HUMAN,18,23203.3374154325,233.033374154325,Hek293_XO44,Hek293_control,"cytoplasm,cytosol,actin cytoskeleton,membrane","magnesium ion binding,actin binding,protein serine/threonine kinase activity,protein binding,ATP binding","protein phosphorylation,peptidyl-serine phosphorylation,intracellular signal transduction,regulation of cellular component organization"
7,AGC,Hek293_XO44 / Hek293_control,Q5VT25,Q5VT25,4.14327471971195,4.14327471971195,0.0020704693258637,0.0047730276111831,6,Q5VT25,CDC42BPA,Serine/threonine-protein kinase MRCK alpha,MRCKA_HUMAN,40,1667.05460807403,17.6705460807403,Hek293_XO44,Hek293_control,"cytoplasm,cell-cell junction,lamellipodium,cell leading edge,actomyosin,extracellular exosome","magnesium ion binding,protein serine/threonine kinase activity,protein binding,ATP binding,identical protein binding","protein phosphorylation,cell migration,actomyosin structure organization,actin cytoskeleton reorganization,intracellular signal transduction"
8,AGC,Hek293_XO44 / Hek293_control,Q16512,Q16512,5.55715999439431,5.55715999439431,0.0051208829699975,0.0048580364499194,6,Q16512,PKN1,Serine/threonine-protein kinase N1,PKN1_HUMAN,27,4608.38371595475,47.0838371595475,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,cytoplasm,endosome,cytosol,midbody,cleavage furrow","chromatin binding,protein kinase activity,protein serine/threonine kinase activity,protein kinase C activity,protein kinase C binding,protein binding,ATP binding,GTP-Rho binding,ligand-dependent nuclear receptor transcription coactivator activity,histone kinase activity (H3-T11 specific),histone binding,histone deacetylase binding,Rac GTPase binding,androgen receptor binding","B cell homeostasis,B cell apoptotic process,regulation of germinal center formation,regulation of immunoglobulin production,renal system process,transcription, DNA-templated,regulation of transcription from RNA polymerase II promoter,protein phosphorylation,negative regulation of protein kinase activity,hyperosmotic response,signal transduction,activation of JUN kinase activity,epithelial cell migration,peptidyl-serine phosphorylation,negative regulation of B cell proliferation,histone H3-T11 phosphorylation,spleen development,regulation of cell motility,intracellular signal transduction"
9,AGC,Hek293_XO44 / Hek293_control,P17252,P17252,4.26394205766562,4.26394205766562,0.0086368246661437,0.005569404487124,6,P17252,PRKCA,Protein kinase C alpha type,KPCA_HUMAN,18,1821.20832177136,19.2120832177136,Hek293_XO44,Hek293_control,"nucleoplasm,cytoplasm,mitochondrion,endoplasmic reticulum,cytosol,plasma membrane,mitochondrial membrane,alphav-beta3 integrin-PKCalpha complex,perinuclear region of cytoplasm,extracellular exosome","protein kinase activity,protein serine/threonine kinase activity,protein kinase C activity,calcium-dependent protein kinase C activity,integrin binding,protein binding,ATP binding,zinc ion binding,enzyme binding,histone kinase activity (H3-T6 specific)","angiogenesis,positive regulation of endothelial cell proliferation,desmosome assembly,protein phosphorylation,mitotic nuclear envelope disassembly,cell adhesion,axon guidance,positive regulation of endothelial cell migration,positive regulation of cardiac muscle hypertrophy,peptidyl-serine phosphorylation,platelet activation,positive regulation of cell migration,positive regulation of lipopolysaccharide-mediated signaling pathway,negative regulation of glial cell apoptotic process,histone H3-T6 phosphorylation,intracellular signal transduction,ERBB2 signaling pathway,regulation of mRNA stability,positive regulation of blood vessel endothelial cell migration,positive regulation of macrophage differentiation,positive regulation of angiogenesis,positive regulation of bone resorption,positive regulation of cell adhesion,positive regulation of mitotic cell cycle,regulation of insulin secretion,positive regulation of ERK1 and ERK2 cascade,response to interleukin-1,regulation of platelet aggregation,apoptotic signaling pathway,Requires Ontology,positive regulation of dense core granule biogenesis"
