Kinase Classification,Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
AGC,HeLa_XO44 / HeLa_control,P25098,P25098,3.8891916648651,3.8891916648651,0.0244895779586104,0.0080419667979053,6,P25098,GRK2,Beta-adrenergic receptor kinase 1,ARBK1_HUMAN,28,1381.71047110997,14.8171047110997,HeLa_XO44,HeLa_control,"cytoplasm,cytosol,plasma membrane,cilium,membrane","protein kinase activity,G-protein coupled receptor kinase activity,protein binding,ATP binding,alpha-2A adrenergic receptor binding,Edg-2 lysophosphatidic acid receptor binding,beta-adrenergic receptor kinase activity","desensitization of G-protein coupled receptor protein signaling pathway,negative regulation of the force of heart contraction by chemical signal,G-protein coupled receptor signaling pathway,G-protein coupled acetylcholine receptor signaling pathway,tachykinin receptor signaling pathway,heart development,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,viral genome replication,receptor internalization,positive regulation of catecholamine secretion,negative regulation of striated muscle contraction,viral entry into host cell,cardiac muscle contraction"
AGC,HeLa_XO44 / HeLa_control,Q6P0Q8,Q6P0Q8,5.54615556242163,5.54615556242163,0.0148864855241065,0.0065511055888472,6,Q6P0Q8,MAST2,Microtubule-associated serine/threonine-protein kinase 2,MAST2_HUMAN,46,4572.60624310076,46.7260624310076,HeLa_XO44,HeLa_control,"cytoplasm,plasma membrane,microtubule cytoskeleton","magnesium ion binding,protein serine/threonine kinase activity,protein binding,ATP binding,microtubule binding,phosphatase binding","protein phosphorylation,cytoskeleton organization,peptidyl-serine phosphorylation,intracellular signal transduction,regulation of interleukin-12 biosynthetic process,spermatid differentiation"
AGC,HeLa_XO44 / HeLa_control,Q9Y2H9,Q9Y2H9,2.96698617411503,2.96698617411503,0.0007989204222535,0.003946189603275,6,Q9Y2H9,MAST1,Microtubule-associated serine/threonine-protein kinase 1,MAST1_HUMAN,8,681.901119842515,7.81901119842515,HeLa_XO44,HeLa_control,"intracellular,cytoplasm,cytoskeleton,plasma membrane","magnesium ion binding,protein serine/threonine kinase activity,protein binding,ATP binding","protein phosphorylation,cytoskeleton organization,peptidyl-serine phosphorylation,intracellular signal transduction"
AGC,HeLa_XO44 / HeLa_control,Q9Y2H1,Q9Y2H1,6.9424728567237,6.9424728567237,0.0151012589673817,0.0065818272832455,6,Q9Y2H1,STK38L,Serine/threonine-protein kinase 38-like,ST38L_HUMAN,18,12199.6449210939,122.996449210939,HeLa_XO44,HeLa_control,"cytoplasm,cytosol,actin cytoskeleton,membrane","magnesium ion binding,actin binding,protein serine/threonine kinase activity,protein binding,ATP binding","protein phosphorylation,peptidyl-serine phosphorylation,intracellular signal transduction,regulation of cellular component organization"
AGC,HeLa_XO44 / HeLa_control,Q5VT25,Q5VT25,4.21441656906901,4.21441656906901,0.0210217999122597,0.0074480008700766,6,Q5VT25,CDC42BPA,Serine/threonine-protein kinase MRCK alpha,MRCKA_HUMAN,40,1756.375386483,18.56375386483,HeLa_XO44,HeLa_control,"cytoplasm,cell-cell junction,lamellipodium,cell leading edge,actomyosin,extracellular exosome","magnesium ion binding,protein serine/threonine kinase activity,protein binding,ATP binding,identical protein binding","protein phosphorylation,cell migration,actomyosin structure organization,actin cytoskeleton reorganization,intracellular signal transduction"
AGC,HeLa_XO44 / HeLa_control,Q9Y5S2,Q9Y5S2,4.13953947830947,4.13953947830947,0.0138918381128761,0.0064352854144187,6,Q9Y5S2,CDC42BPB,Serine/threonine-protein kinase MRCK beta,MRCKB_HUMAN,52,1662.48549381836,17.6248549381836,HeLa_XO44,HeLa_control,"cytoplasm,cytoskeleton,plasma membrane,cell-cell junction,lamellipodium,cell leading edge,actomyosin,extracellular exosome","magnesium ion binding,protein kinase activity,protein serine/threonine kinase activity,ATP binding,Rho GTPase binding,macromolecular complex binding","protein phosphorylation,cytoskeleton organization,establishment or maintenance of cell polarity,signal transduction,cell migration,actomyosin structure organization,actin cytoskeleton reorganization,intracellular signal transduction"
AGC,HeLa_XO44 / HeLa_control,O14578,O14578,3.95438167425694,3.95438167425694,0.0089932136107804,0.0056400159053473,6,O14578,CIT,Citron Rho-interacting kinase,CTRO_HUMAN,58,1450.19916368251,15.5019916368251,HeLa_XO44,HeLa_control,"cytosol,membrane,midbody,Golgi cisterna,cleavage furrow,neuronal cell body","protein serine/threonine kinase activity,protein binding,ATP binding,Rho GTPase binding,SH3 domain binding,PDZ domain binding,metal ion binding,scaffold protein binding","G2/M transition of mitotic cell cycle,mitotic cell cycle,mitotic cytokinesis,protein phosphorylation,Golgi organization,regulation of actin polymerization or depolymerization,positive regulation of cytokinesis,intracellular signal transduction,generation of neurons,neuron apoptotic process"
AGC,HeLa_XO44 / HeLa_control,Q15208,Q15208,7.18758608100947,7.18758608100947,0.0077492605348842,0.005376475839779,6,Q15208,STK38,Serine/threonine-protein kinase 38,STK38_HUMAN,23,14477.3642837481,145.773642837481,HeLa_XO44,HeLa_control,"nucleus,cytoplasm,cytosol","magnesium ion binding,protein serine/threonine kinase activity,protein binding,ATP binding,mitogen-activated protein kinase kinase kinase binding,cadherin binding","cellular protein modification process,protein phosphorylation,peptidyl-serine phosphorylation,intracellular signal transduction,negative regulation of MAP kinase activity"
AGC,HeLa_XO44 / HeLa_control,P51817,P51817,4.25826108382055,4.25826108382055,0.0208332676519084,0.0074172023243713,6,P51817,PRKX,cAMP-dependent protein kinase catalytic subunit PRKX,PRKX_HUMAN,5,1813.65795725826,19.1365795725826,HeLa_XO44,HeLa_control,"nucleus,cytoplasm","cAMP-dependent protein kinase activity,protein binding,ATP binding","angiogenesis,endothelial cell proliferation,cell adhesion,peptidyl-serine phosphorylation,myeloid cell differentiation,regulation of cell adhesion,regulation of cell migration,cell-substrate adhesion,endothelial cell migration,protein autophosphorylation,epithelial tube morphogenesis,kidney morphogenesis,regulation of epithelial cell differentiation involved in kidney development"
AGC,HeLa_XO44 / HeLa_control,O60307,O60307,5.74826116289375,5.74826116289375,0.0124981359062906,0.0062601026587801,6,O60307,MAST3,Microtubule-associated serine/threonine-protein kinase 3,MAST3_HUMAN,33,5275.25451858751,53.7525451858751,HeLa_XO44,HeLa_control,intracellular,"magnesium ion binding,protein serine/threonine kinase activity,protein binding,ATP binding","cytoskeleton organization,peptidyl-serine phosphorylation,intracellular signal transduction"
AGC,HeLa_XO44 / HeLa_control,Q16512,Q16512,5.27825085651394,5.27825085651394,0.0121933981067586,0.0062157434818801,6,Q16512,PKN1,Serine/threonine-protein kinase N1,PKN1_HUMAN,27,3780.71574307233,38.8071574307233,HeLa_XO44,HeLa_control,"nucleus,nucleoplasm,cytoplasm,endosome,cytosol,midbody,cleavage furrow","chromatin binding,protein kinase activity,protein serine/threonine kinase activity,protein kinase C activity,protein kinase C binding,protein binding,ATP binding,GTP-Rho binding,ligand-dependent nuclear receptor transcription coactivator activity,histone kinase activity (H3-T11 specific),histone binding,histone deacetylase binding,Rac GTPase binding,androgen receptor binding","B cell homeostasis,B cell apoptotic process,regulation of germinal center formation,regulation of immunoglobulin production,renal system process,transcription, DNA-templated,regulation of transcription from RNA polymerase II promoter,protein phosphorylation,negative regulation of protein kinase activity,hyperosmotic response,signal transduction,activation of JUN kinase activity,epithelial cell migration,peptidyl-serine phosphorylation,negative regulation of B cell proliferation,histone H3-T11 phosphorylation,spleen development,regulation of cell motility,intracellular signal transduction"
AGC,HeLa_XO44 / HeLa_control,Q6P5Z2,Q6P5Z2,4.6708931898405,4.6708931898405,0.0326185783369273,0.0096445284281501,6,Q6P5Z2,PKN3,Serine/threonine-protein kinase N3,PKN3_HUMAN,23,2447.29331983997,25.4729331983997,HeLa_XO44,HeLa_control,"nucleus,Golgi apparatus,perinuclear region of cytoplasm","protein kinase activity,protein serine/threonine kinase activity,protein kinase C activity,protein binding,ATP binding,GTP-Rho binding","protein phosphorylation,signal transduction,epithelial cell migration,peptidyl-serine phosphorylation,intracellular signal transduction"
