HGNC ,Kinase Classification,Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
,,HeLa_XO44 / Hek293_XO44,P04792,P04792,7.627688011245919,7.627688011245919,0.005377901487782,0.0048909472237142,6,P04792,HSPB1,Heat shock protein beta-1,HSPB1_HUMAN,17,19677.112726295687,197.77112726295687,HeLa_XO44,Hek293_XO44,"proteasome complex,extracellular space,nucleus,cytoplasm,spindle,cytosol,cytoskeleton,plasma membrane,focal adhesion,Z disc,extracellular exosome,axon cytoplasm","RNA binding,protein kinase C binding,protein binding,protein kinase C inhibitor activity,protein kinase binding,identical protein binding,protein homodimerization activity,ubiquitin binding,protein binding involved in protein folding","retina homeostasis,regulation of protein phosphorylation,regulation of translational initiation,negative regulation of protein kinase activity,response to unfolded protein,response to virus,regulation of autophagy,positive regulation of interleukin-1 beta production,intracellular signal transduction,cellular response to vascular endothelial growth factor stimulus,positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway,positive regulation of tumor necrosis factor biosynthetic process,negative regulation of apoptotic process,regulation of I-kappaB kinase/NF-kappaB signaling,regulation of mRNA stability,positive regulation of blood vessel endothelial cell migration,positive regulation of angiogenesis,vascular endothelial growth factor receptor signaling pathway,chaperone-mediated protein folding,platelet aggregation,negative regulation of protein serine/threonine kinase activity,anterograde axonal protein transport,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,positive regulation of endothelial cell chemotaxis"
,,HeLa_XO44 / Hek293_XO44,P09382,P09382,7.372365890201097,7.372365890201097,0.0140700369921977,0.0064478686574466,6,P09382,LGALS1,Galectin-1,LEG1_HUMAN,6,16469.266071578742,165.69266071578744,HeLa_XO44,Hek293_XO44,"extracellular region,proteinaceous extracellular matrix,extracellular space,intracellular,nucleus,cytoplasm,endoplasmic reticulum lumen,cytosol,cell surface,extracellular matrix,extracellular exosome","RNA binding,signal transducer activity,protein binding,lactose binding,protein homodimerization activity,laminin binding","plasma cell differentiation,apoptotic process,signal transduction,negative regulation of cell-substrate adhesion,negative regulation of neuron projection development,T cell costimulation,positive regulation of erythrocyte aggregation,response to isolation stress,response to drug,regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,post-translational protein modification,cellular protein metabolic process,myoblast differentiation,positive regulation of viral entry into host cell,response to axon injury,cellular response to glucose stimulus,cellular response to organic cyclic compound,positive regulation of dendritic cell differentiation"
,,HeLa_XO44 / Hek293_XO44,Q9Y6M0,Q9Y6M0,7.0765262376975695,7.0765262376975695,0.0165413170937759,0.0067626878366675,6,Q9Y6M0,PRSS21,Testisin,TEST_HUMAN,5,13397.29259515089,134.9729259515089,HeLa_XO44,Hek293_XO44,"extracellular region,cytoplasm,plasma membrane,membrane,anchored component of membrane,extracellular space","serine-type endopeptidase activity,protein binding,serine-type peptidase activity","C-terminal protein lipidation,proteolysis,spermatogenesis"
,,HeLa_XO44 / Hek293_XO44,O15427,O15427,6.9967404253182375,6.9967404253182375,0.0052942855923475,0.0048815678715804,6,O15427,SLC16A3,Monocarboxylate transporter 4,MOT4_HUMAN,16,12671.11277367626,127.7111277367626,HeLa_XO44,Hek293_XO44,"plasma membrane,integral component of plasma membrane,membrane,integral component of membrane,nuclear membrane","RNA binding,protein binding,monocarboxylic acid transmembrane transporter activity,lactate transmembrane transporter activity,symporter activity,transporter activity","pyruvate metabolic process,monocarboxylic acid transport,plasma membrane lactate transport,leukocyte migration"
,,HeLa_XO44 / Hek293_XO44,P16401,P16401,6.888544516519111,6.888544516519111,0.0140955863198303,0.0064485921337134,6,P16401,H1-5,Histone H1.5,H15_HUMAN,5,11748.367765582092,118.48367765582093,HeLa_XO44,Hek293_XO44,"nucleosome,nuclear chromatin,nucleus,nuclear heterochromatin,extracellular exosome","RNA binding,chromatin DNA binding,histone deacetylase binding","negative regulation of transcription from RNA polymerase II promoter,chromatin organization,nucleosome assembly,positive regulation of cell growth,protein stabilization,positive regulation of histone H3-K9 methylation,establishment of protein localization to chromatin"
,,HeLa_XO44 / Hek293_XO44,Cont_P81948;P68366,Cont_P81948;P68366,6.047859579598313,6.047859579598313,0.0191992957064958,0.0071285373899986,6,Cont_P81948;P68366,TUBA4A,Tubulin alpha-4A chain,TBA4A_BOVIN;TBA4A_HUMAN,4,6515.872744485654,66.15872744485654,HeLa_XO44,Hek293_XO44,";extracellular region,cytosol,cytoskeleton,microtubule,microtubule cytoskeleton,extracellular exosome,cytoplasm",";GTPase activity,structural constituent of cytoskeleton,protein binding,GTP binding,protein kinase binding",";G2/M transition of mitotic cell cycle,platelet degranulation,cytoskeleton organization,microtubule-based process,regulation of G2/M transition of mitotic cell cycle,ciliary basal body docking,mitotic cell cycle,microtubule cytoskeleton organization"
,,HeLa_XO44 / Hek293_XO44,Q16401,Q16401,5.977859831967965,5.977859831967965,0.0185562628898689,0.0070368715900821,6,Q16401,PSMD5,26S proteasome non-ATPase regulatory subunit 5,PSMD5_HUMAN,19,6202.53286911791,63.0253286911791,HeLa_XO44,Hek293_XO44,"proteasome complex,nucleoplasm,cytosol,proteasome accessory complex,proteasome regulatory particle, base subcomplex",protein binding,"MAPK cascade,protein polyubiquitination,stimulatory C-type lectin receptor signaling pathway,antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,regulation of cellular amino acid metabolic process,negative regulation of G2/M transition of mitotic cell cycle,protein deubiquitination,anaphase-promoting complex-dependent catabolic process,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,tumor necrosis factor-mediated signaling pathway,NIK/NF-kappaB signaling,Fc-epsilon receptor signaling pathway,proteasome-mediated ubiquitin-dependent protein catabolic process,regulation of mRNA stability,post-translational protein modification,T cell receptor signaling pathway,negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,transmembrane transport,Wnt signaling pathway, planar cell polarity pathway,regulation of transcription from RNA polymerase II promoter in response to hypoxia,interleukin-1-mediated signaling pathway,proteasome regulatory particle assembly,negative regulation of canonical Wnt signaling pathway,positive regulation of canonical Wnt signaling pathway,regulation of hematopoietic stem cell differentiation"
,,HeLa_XO44 / Hek293_XO44,Q16719,Q16719,5.905368792971221,5.905368792971221,0.0164630746680496,0.0067542692031191,6,Q16719,KYNU,Kynureninase,KYNU_HUMAN,19,5893.674337601441,59.93674337601441,HeLa_XO44,Hek293_XO44,"nucleoplasm,mitochondrion,cytosol,cytoplasm","pyridoxal phosphate binding,kynureninase activity,protein homodimerization activity,Requires Ontology","tryptophan catabolic process,NAD biosynthetic process,tryptophan catabolic process to kynurenine,tryptophan catabolic process to acetyl-CoA,quinolinate biosynthetic process,response to interferon-gamma,response to vitamin B6,anthranilate metabolic process,L-kynurenine catabolic process"
,,HeLa_XO44 / Hek293_XO44,P31327,P31327,5.820085482970961,5.820085482970961,0.0063237674314195,0.0050657140014067,6,P31327,CPS1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",CPSM_HUMAN,98,5549.633920035592,56.49633920035592,HeLa_XO44,Hek293_XO44,"nucleolus,mitochondrial inner membrane,mitochondrial matrix,mitochondrial nucleoid,cytoplasm","carbamoyl-phosphate synthase (ammonia) activity,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity,endopeptidase activity,calcium ion binding,protein binding,ATP binding,phospholipid binding,glutamate binding,modified amino acid binding,aspartate carbamoyltransferase activity,dihydroorotase activity","urea cycle,'de novo' pyrimidine nucleobase biosynthetic process,proteolysis,arginine biosynthetic process,glutamine metabolic process,midgut development,response to zinc ion,response to amine,citrulline biosynthetic process,triglyceride catabolic process,response to food,response to lipopolysaccharide,vasodilation,response to starvation,response to amino acid,cellular response to fibroblast growth factor stimulus,nitric oxide metabolic process,homocysteine metabolic process,anion homeostasis,response to growth hormone,hepatocyte differentiation,carbamoyl phosphate biosynthetic process,cellular response to cAMP,cellular response to glucagon stimulus,cellular response to oleic acid,response to dexamethasone,cellular response to ammonia,primary metabolic process"
,,HeLa_XO44 / Hek293_XO44,Q17RY6,Q17RY6,5.549641961063263,5.549641961063263,0.0084159579320895,0.0055211265100994,6,Q17RY6,LY6K,Lymphocyte antigen 6K,LY6K_HUMAN,7,4583.911659181547,46.83911659181548,HeLa_XO44,Hek293_XO44,"acrosomal vesicle,extracellular region,plasma membrane,anchored component of membrane,membrane raft",,C-terminal protein lipidation
,,HeLa_XO44 / Hek293_XO44,Q9NZM1,Q9NZM1,5.393160359742896,5.393160359742896,0.0110897052510605,0.0060315822131951,6,Q9NZM1,MYOF,Myoferlin,MYOF_HUMAN,93,4102.454690439008,42.02454690439008,HeLa_XO44,Hek293_XO44,"nuclear envelope,plasma membrane,caveola,integral component of membrane,cytoplasmic vesicle membrane,cytoplasmic vesicle,nuclear membrane,intracellular membrane-bounded organelle,extracellular exosome","protein binding,phospholipid binding","plasma membrane repair,muscle contraction,myoblast fusion,blood circulation,regulation of vascular endothelial growth factor receptor signaling pathway,cellular response to heat"
